(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income
0.019394807436670523,-0.0011601713907387712,-0.0019139361765248535,-0.0020301873741331066,-0.0019698074766280617,-0.0021354124539273694,-0.0017231018598193957,-0.0014983152351973285,-8.409093218734459e-4,-4.310083123054154e-4,-7.096440274186684e-4,-7.724801196831335e-4,-0.0014397461923878838,-8.422176923882288e-4,-9.212860502798699e-7,-1.1035790614992612e-4,1.1977639720896008e-6,1.311456240591313e-4,5.365033445384253e-4,6.034829167116031e-4,-1.0097237282624916e-4,-3.799754052357743e-4,3.9292549177080726e-4,1.81788976861544e-4,-3.5541293825750673e-4,-5.631483078611227e-4,-5.284494851769703e-4,-0.0014476414075467374
-0.0011601713907387833,0.0015542530744220876,0.0011828078359721553,0.0010608231078428597,0.001059245794539991,0.0010186486271472396,8.907109300391392e-4,9.528547164457083e-4,9.190383737310828e-4,9.3160650815203e-4,9.472898205932574e-4,7.881349854789025e-4,7.753870625865368e-4,9.089430864006938e-4,-3.93829418931379e-5,1.5177238470164995e-6,2.437878191811609e-8,5.6592067326652164e-5,2.5599750203096398e-5,9.569847027143551e-5,-4.2413485245719036e-5,8.758885606258578e-5,-4.4055801485257385e-5,5.607816017615243e-7,-7.455037102304461e-5,-2.8026795644163248e-5,-8.928980844564172e-5,4.122654765799161e-5
-0.0019139361765248553,0.0011828078359721532,0.002859243193260092,0.0019340023371327466,0.0018572129724870041,0.001968072503931186,0.0017804768799008141,0.001835407846480365,0.0019271513456498432,0.0018192853362645842,0.0016829867884498733,0.0017471797337457334,0.0015741750729912224,0.0017855682956093096,2.4727446074870186e-5,1.226178903435966e-7,5.2895284591988484e-8,1.0628297687830436e-4,4.4238286705601154e-5,9.74050256203951e-5,-6.54447299792107e-5,1.656669616020823e-4,-6.752219752938861e-6,-2.3722264723568842e-5,-1.0135928644321117e-4,-2.3047770001774003e-5,-7.104023618639699e-5,-2.927836827475123e-5
-0.002030187374133106,0.001060823107842855,0.001934002337132746,0.002397804749366017,0.002029471983635689,0.0020265973450093555,0.0016773575086400847,0.0015809011694624484,0.0016030414679823538,0.001371694470418875,0.0012612485932462936,0.0016044359018058312,0.0013601342282289989,0.001560201087286184,4.690045973972848e-5,-2.2131735059894096e-6,4.1491204181460374e-8,1.1622801262037035e-4,7.913488768980535e-5,8.925678483243133e-5,-3.250576177645735e-5,1.673917877832483e-4,1.0024517705024302e-4,1.2727617044347367e-5,-2.9063526178709845e-5,-8.457875228017074e-5,-7.913149285448146e-6,3.4056124595944294e-5
-0.0019698074766280656,0.0010592457945399877,0.0018572129724870048,0.0020294719836356904,0.002703025269897241,0.0022749100346626896,0.0017973818490991918,0.0017712960216085783,0.0018502422126122357,0.001537355196313296,0.0014237264860905148,0.0016011255049949984,0.0013332967618310335,0.0016568225232656433,1.2000135788486513e-7,-1.970412204938103e-5,1.995413923699948e-7,1.5310877553881174e-4,1.0534843353671898e-4,1.112917630539351e-4,7.278498181806706e-5,1.977490053248899e-4,2.102709087725217e-4,7.878244200449077e-5,1.3970819979242661e-5,-1.7834800009444262e-4,4.260018294854307e-5,5.922987888304446e-5
-0.0021354124539273754,0.0010186486271472335,0.0019680725039311828,0.002026597345009354,0.002274910034662688,0.003029793171893487,0.0022592420410833145,0.0022347334408864034,0.0021672212323936052,0.0019001988867940894,0.0019070508239430687,0.0019406887586275348,0.0017988234122595307,0.0021252056628764614,-9.897568923196686e-5,-2.3268441574895144e-5,2.3840584836942278e-7,1.0199203601020672e-4,6.181300235445029e-5,9.667324250573403e-5,5.576987796084018e-5,1.5220200386875334e-4,1.5769567721066435e-4,3.794859957998081e-5,-5.002665518473439e-6,-2.474327388025349e-4,6.3908846260478e-5,5.3315488574311034e-5
-0.001723101859819403,8.907109300391363e-4,0.001780476879900816,0.0016773575086400868,0.001797381849099193,0.0022592420410833167,0.002631496902656166,0.0024146859001691907,0.002365712306002115,0.0022321774297038455,0.002042486826829228,0.0021822424968647326,0.0020546584139518732,0.0022706842466637196,2.3829883141554622e-5,-7.997470073878894e-6,7.519885855288416e-8,1.2519344031809295e-4,6.422423199222854e-5,4.157575445716022e-5,-6.0583128347572444e-5,1.513708488152875e-4,4.277794744244026e-5,-4.3890059223428836e-5,-1.0143549003581857e-4,-0.00015746247689642323,-5.565974317267917e-5,-3.129137421159028e-5
-0.0014983152351973365,9.528547164457086e-4,0.0018354078464803678,0.0015809011694624538,0.0017712960216085811,0.0022347334408864094,0.002414685900169194,0.002991604261990658,0.00271577017350704,0.002545996809611089,0.002304782778428886,0.002254004811994982,0.0022309287713667683,0.0024447668743046956,2.455924014990288e-5,-1.2711337870462964e-5,1.0790760569921228e-7,1.2918497548425285e-4,1.0091160891051866e-4,7.024637696509849e-5,-4.255521393685072e-5,1.4760260806705744e-4,4.1826842446444706e-5,-6.691751220469464e-5,-1.3501897156726673e-4,-1.275539249804589e-4,-5.954164284399612e-5,-5.601412936346267e-5
-8.409093218734511e-4,9.190383737310809e-4,0.001927151345649843,0.0016030414679823564,0.0018502422126122355,0.0021672212323936074,0.002365712306002115,0.002715770173507039,0.0034379476316818663,0.0031411589815297527,0.0028843247777948404,0.002805974403148034,0.0028539904186824414,0.003211026746329658,1.3529479227542994e-4,-9.266583640155427e-6,9.282500803644363e-8,1.2068330054759108e-4,1.2338670675049934e-4,3.68878765162812e-5,-8.742415241070539e-5,7.530455065475007e-5,3.602832376200371e-5,-2.6609799918915695e-5,-1.639189899648057e-4,-9.461652778941031e-5,-7.333681087198374e-5,-1.4997068780085967e-4
-4.3100831230541106e-4,9.316065081520266e-4,0.0018192853362645842,0.0013716944704188767,0.0015373551963132957,0.0019001988867940922,0.0022321774297038455,0.002545996809611086,0.0031411589815297514,0.003491732541447135,0.0030704301475288427,0.002798517643533313,0.0029579350081452454,0.0032781196727637205,1.4973999810567352e-4,-2.7975353054386106e-6,1.188269433353167e-8,7.38916833267887e-5,1.0026878428075142e-4,3.638391777963332e-6,-1.0035110553026659e-4,9.809042155819806e-5,4.805627833084213e-5,-3.602293370523448e-5,-1.482984358193062e-4,-1.2404874010580417e-4,-1.0723158075580726e-4,-2.0874723998621987e-4
-7.096440274186749e-4,9.472898205932526e-4,0.0016829867884498716,0.0012612485932462956,0.0014237264860905154,0.0019070508239430698,0.0020424868268292267,0.0023047827784288834,0.002884324777794837,0.0030704301475288445,0.003418604617219489,0.0027327616816435955,0.003049414065269393,0.0033108315338773683,9.019610240894381e-5,-1.7684650843714145e-6,-9.962437225301022e-9,-1.891605187330522e-5,2.0765828214572684e-5,-2.1127184584656495e-5,-1.4837312757994358e-4,5.227498677493986e-5,-5.050073580880996e-5,-3.4056585829797684e-5,-1.5173945685557073e-4,-1.3426184669705033e-4,-1.3488544871766684e-4,-1.4730770731536657e-4
-7.724801196831351e-4,7.881349854788984e-4,0.0017471797337457306,0.001604435901805832,0.001601125504994999,0.0019406887586275365,0.0021822424968647304,0.0022540048119949756,0.0028059744031480316,0.0027985176435333095,0.0027327616816435942,0.004010809328601954,0.0033920833948914778,0.0032501489729401425,1.6489548198914881e-4,-2.5832611394424956e-6,-3.165396101376985e-8,1.6713661214569898e-4,1.5895719952239786e-4,2.694646772092658e-5,-7.21381239049839e-5,1.1607860702427615e-4,1.104364527235638e-4,-7.764951072471595e-5,-1.8417880163052697e-4,-2.898180204529821e-4,-9.864815081664487e-5,-2.0391553365993394e-4
-0.0014397461923878934,7.75387062586534e-4,0.0015741750729912213,0.0013601342282290015,0.0013332967618310352,0.001798823412259535,0.002054658413951872,0.0022309287713667652,0.0028539904186824423,0.0029579350081452437,0.003049414065269395,0.00339208339489148,0.004067553158460524,0.0035189014440629046,1.6186667210280688e-4,-5.3560567051014375e-6,-6.247412259453568e-8,1.3822817580432586e-4,1.1679747834081895e-4,-3.8282080232078126e-5,-7.316369443666788e-5,9.51885897224862e-5,6.942159799493524e-5,-3.332642675556051e-5,-8.019939998308411e-5,-2.0059880349917618e-4,-5.151978931586381e-5,-1.0168535625747258e-4
-8.422176923882341e-4,9.089430864006868e-4,0.0017855682956093085,0.0015602010872861826,0.0016568225232656427,0.002125205662876459,0.002270684246663714,0.0024447668743046904,0.0032110267463296566,0.0032781196727637175,0.003310831533877365,0.0032501489729401404,0.0035189014440628994,0.0044788851492884914,1.2200686457418171e-4,-7.583770490946158e-6,-2.990821746473269e-8,1.0277997973802469e-4,1.6462243460698377e-4,3.180065526459876e-5,-1.3720611646202282e-4,5.0743511714606755e-5,4.9226699082853915e-5,-5.146526612157725e-5,-1.4943714801099215e-4,-1.8195545034625522e-4,-9.522399705285955e-5,-1.497003491886472e-4
-9.212860502801457e-7,-3.938294189313786e-5,2.4727446074870396e-5,4.6900459739728513e-5,1.2000135788481566e-7,-9.897568923196713e-5,2.3829883141554473e-5,2.4559240149902883e-5,1.3529479227542994e-4,1.4973999810567363e-4,9.019610240894396e-5,1.648954819891488e-4,1.6186667210280701e-4,1.2200686457418184e-4,1.7566023510620171e-4,1.0311393154585693e-5,-1.184710917887363e-7,1.5461827203857546e-5,2.872843643258531e-5,-4.797987061798649e-6,-8.160636630098929e-5,-2.0220117842173993e-5,7.660285842617474e-6,-2.386791070660797e-5,-6.367392031467055e-5,3.290118156822198e-5,-4.8343729548267075e-5,-2.2806319402195442e-5
-1.1035790614992463e-4,1.5177238470162542e-6,1.2261789034360248e-7,-2.2131735059892186e-6,-1.970412204938099e-5,-2.3268441574895364e-5,-7.997470073879114e-6,-1.2711337870463079e-5,-9.266583640155406e-6,-2.7975353054380973e-6,-1.7684650843716229e-6,-2.583261139442406e-6,-5.356056705101715e-6,-7.583770490946266e-6,1.0311393154585675e-5,6.269875558138781e-6,-6.120904282230346e-8,-1.6741066301119235e-5,-2.1261200016022945e-5,-1.2730011091866524e-5,-2.0249040224646607e-5,-5.145826541872532e-6,-2.8777173781832e-5,-1.4182134238187619e-5,-1.5136842447315125e-5,1.5823086513458883e-5,-1.2941141528837439e-5,1.508106414541078e-6
1.1977639720895915e-6,2.43787819181188e-8,5.289528459198887e-8,4.1491204181458885e-8,1.9954139236999473e-7,2.384058483694254e-7,7.519885855288683e-8,1.0790760569921392e-7,9.282500803644394e-8,1.1882694333526649e-8,-9.962437225298486e-9,-3.165396101377025e-8,-6.247412259453232e-8,-2.990821746473112e-8,-1.184710917887362e-7,-6.120904282230386e-8,6.828071849436948e-10,1.4445553541040717e-7,1.6135265362526253e-7,1.1468007858652811e-7,1.5984586585348964e-7,4.357601117873068e-8,2.3413362053181313e-7,1.3443157743781904e-7,1.345793672935834e-7,-1.1825921157267965e-7,8.324697151489341e-8,-2.7051888909263065e-8
1.3114562405913235e-4,5.6592067326653194e-5,1.0628297687830466e-4,1.162280126203699e-4,1.5310877553881166e-4,1.019920360102075e-4,1.251934403180937e-4,1.291849754842534e-4,1.2068330054759093e-4,7.389168332678701e-5,-1.8916051873304585e-5,1.6713661214569882e-4,1.382281758043269e-4,1.0277997973802516e-4,1.5461827203857607e-5,-1.674106630111959e-5,1.4445553541040953e-7,2.455640388619156e-4,1.903802571596555e-4,1.2670502490980207e-4,9.842179772684976e-5,6.715147274750188e-5,2.1384543406400116e-4,6.608025729538928e-5,3.0898219942949766e-5,-6.781817905973668e-5,8.097989111293795e-5,-1.5247751665944412e-5
5.365033445384277e-4,2.5599750203097405e-5,4.423828670560135e-5,7.913488768980477e-5,1.0534843353671885e-4,6.181300235445112e-5,6.422423199222929e-5,1.0091160891051906e-4,1.2338670675049904e-4,1.0026878428074969e-4,2.0765828214573216e-5,1.589571995223976e-4,1.1679747834082016e-4,1.6462243460698436e-4,2.8728436432585377e-5,-2.1261200016023406e-5,1.6135265362526592e-7,1.9038025715965574e-4,3.104963115825879e-4,1.5371524531359145e-4,7.995487693803044e-5,3.448996796142085e-5,1.9571208107491394e-4,6.470897882874236e-5,1.840233457805583e-5,-6.066405037675164e-5,8.186168763597435e-5,-3.882000685097899e-5
6.034829167115981e-4,9.569847027143578e-5,9.74050256203956e-5,8.925678483243166e-5,1.1129176305393493e-4,9.667324250573427e-5,4.157575445716025e-5,7.024637696509864e-5,3.688787651628072e-5,3.638391777963107e-6,-2.112718458465669e-5,2.6946467720926648e-5,-3.828208023207757e-5,3.18006552645988e-5,-4.797987061798675e-6,-1.273001109186625e-5,1.1468007858652518e-7,1.2670502490980104e-4,1.537152453135901e-4,2.762579775249013e-4,1.4325744534935726e-5,1.0363640674903055e-5,7.075691846937194e-5,3.9693780666226346e-5,-3.9543567550266215e-5,-2.0774303136782184e-5,2.6804964165524265e-5,-3.846020926798705e-5
-1.0097237282624886e-4,-4.241348524571922e-5,-6.544472997921083e-5,-3.250576177645735e-5,7.278498181806706e-5,5.576987796083989e-5,-6.05831283475726e-5,-4.2555213936850875e-5,-8.74241524107055e-5,-1.0035110553026647e-4,-1.4837312757994372e-4,-7.213812390498411e-5,-7.316369443666799e-5,-1.372061164620226e-4,-8.160636630098929e-5,-2.02490402246466e-5,1.5984586585349004e-7,9.84217977268499e-5,7.995487693803049e-5,1.4325744534935732e-5,3.058723832890223e-4,4.077822937118486e-5,1.7443419239346688e-4,5.969297544927575e-5,1.0863234959360974e-4,-6.150881385617734e-5,1.3405381227462682e-4,2.1118830972993737e-5
-3.7997540523577355e-4,8.758885606258584e-5,1.6566696160208227e-4,1.673917877832483e-4,1.9774900532489023e-4,1.5220200386875345e-4,1.5137084881528738e-4,1.4760260806705741e-4,7.530455065475032e-5,9.809042155819814e-5,5.227498677493954e-5,1.1607860702427646e-4,9.51885897224861e-5,5.07435117146067e-5,-2.0220117842173986e-5,-5.145826541872549e-6,4.357601117873076e-8,6.715147274750201e-5,3.4489967961420986e-5,1.0363640674902997e-5,4.077822937118486e-5,2.5504577058295245e-4,1.0602241880812934e-4,5.070050320177249e-5,-1.3728889693187256e-5,-8.634933568944163e-5,4.3897085662867306e-5,-4.7813519695863e-6
3.929254917708071e-4,-4.405580148525745e-5,-6.752219752938902e-6,1.0024517705024292e-4,2.102709087725217e-4,1.576956772106644e-4,4.277794744244015e-5,4.182684244644447e-5,3.6028323762003624e-5,4.805627833084183e-5,-5.050073580880998e-5,1.1043645272356374e-4,6.942159799493525e-5,4.922669908285372e-5,7.660285842617496e-6,-2.8777173781832013e-5,2.3413362053181268e-7,2.138454340640011e-4,1.9571208107491386e-4,7.0756918469372e-5,1.7443419239346694e-4,1.0602241880812937e-4,4.988092915191926e-4,1.38842907332285e-4,1.0659692962902042e-4,-1.529279877050306e-4,1.643081086352113e-4,-1.731703753442431e-5
1.817889768615436e-4,5.607816017615577e-7,-2.372226472356873e-5,1.2727617044347341e-5,7.878244200449078e-5,3.794859957998085e-5,-4.389005922342882e-5,-6.691751220469467e-5,-2.6609799918915742e-5,-3.602293370523437e-5,-3.405658582979775e-5,-7.764951072471606e-5,-3.3326426755560475e-5,-5.146526612157727e-5,-2.386791070660797e-5,-1.4182134238187598e-5,1.344315774378189e-7,6.608025729538922e-5,6.470897882874231e-5,3.9693780666226326e-5,5.9692975449275746e-5,5.070050320177252e-5,1.38842907332285e-4,1.291566871307601e-4,4.442985241412483e-5,-5.26373915138739e-5,8.463060465429488e-5,1.8771841123921963e-6
-3.5541293825750673e-4,-7.455037102304475e-5,-1.0135928644321144e-4,-2.906352617870978e-5,1.3970819979242522e-5,-5.002665518473626e-6,-1.0143549003581882e-4,-1.3501897156726676e-4,-1.6391898996480584e-4,-1.4829843581930601e-4,-1.517394568555707e-4,-1.8417880163052694e-4,-8.019939998308429e-5,-1.4943714801099223e-4,-6.367392031467054e-5,-1.5136842447315095e-5,1.3457936729358362e-7,3.08982199429499e-5,1.8402334578056e-5,-3.954356755026633e-5,1.0863234959360984e-4,-1.3728889693187288e-5,1.0659692962902035e-4,4.4429852414124825e-5,2.793425253059447e-4,2.3067314257386617e-6,1.0695486808690105e-4,5.666882379031165e-5
-5.631483078611228e-4,-2.802679564416317e-5,-2.304777000177398e-5,-8.457875228017079e-5,-1.7834800009444257e-4,-2.474327388025349e-4,-1.5746247689642315e-4,-1.2755392498045885e-4,-9.461652778941028e-5,-1.2404874010580417e-4,-1.3426184669705028e-4,-2.898180204529821e-4,-2.0059880349917604e-4,-1.819554503462552e-4,3.2901181568222014e-5,1.5823086513458866e-5,-1.1825921157267962e-7,-6.781817905973688e-5,-6.066405037675181e-5,-2.0774303136782248e-5,-6.150881385617732e-5,-8.634933568944164e-5,-1.5292798770503052e-4,-5.2637391513873924e-5,2.3067314257386375e-6,3.113298806633812e-4,-1.375304511271525e-5,4.293283306745598e-5
-5.284494851769706e-4,-8.92898084456419e-5,-7.10402361863969e-5,-7.913149285448146e-6,4.2600182948543134e-5,6.39088462604782e-5,-5.565974317267915e-5,-5.954164284399627e-5,-7.333681087198371e-5,-1.0723158075580716e-4,-1.3488544871766674e-4,-9.864815081664466e-5,-5.151978931586381e-5,-9.522399705285942e-5,-4.8343729548267075e-5,-1.294114152883745e-5,8.324697151489353e-8,8.097989111293794e-5,8.186168763597432e-5,2.68049641655243e-5,1.340538122746267e-4,4.38970856628673e-5,1.6430810863521134e-4,8.463060465429488e-5,1.0695486808690105e-4,-1.3753045112715259e-5,2.5142983169786727e-4,5.0131934986669595e-5
-0.0014476414075467376,4.122654765799161e-5,-2.9278368274751206e-5,3.4056124595944395e-5,5.922987888304413e-5,5.3315488574311156e-5,-3.129137421159016e-5,-5.60141293634627e-5,-1.4997068780085967e-4,-2.0874723998622012e-4,-1.4730770731536663e-4,-2.0391553365993397e-4,-1.0168535625747259e-4,-1.4970034918864724e-4,-2.2806319402195442e-5,1.5081064145410874e-6,-2.7051888909263244e-8,-1.5247751665944468e-5,-3.88200068509791e-5,-3.846020926798702e-5,2.1118830972993737e-5,-4.781351969586306e-6,-1.7317037534424296e-5,1.877184112392205e-6,5.6668823790311655e-5,4.2932833067455997e-5,5.0131934986669574e-5,1.6375213313224297e-4
