(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,religiousyes (formally),religiousyes (practising),altruistic_behaviour,food1,housing1,health1,security_obj1,social_support1,education1,occupation1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_security_obj,country_average_social_support,country_average_education,country_average_occupation,gdp,growth,government_effectiveness,democracy,social_protection,gendermale:personal_income,religiousyes (formally):personal_income,religiousyes (practising):personal_income,education1:personal_income,altruistic_behaviour:personal_income,gendermale:relative_income,religiousyes (formally):relative_income,religiousyes (practising):relative_income,education1:relative_income,altruistic_behaviour:relative_income,gendermale:gdp,religiousyes (formally):gdp,religiousyes (practising):gdp,education1:gdp,altruistic_behaviour:gdp,gendermale:growth,religiousyes (formally):growth,religiousyes (practising):growth,education1:growth,altruistic_behaviour:growth
1.069311741230857,-0.0034365826426242824,-0.002360289306257292,-0.011145516194750208,-0.011245368235135465,-0.008326820633210408,-0.005871640329420257,-0.006263329619542138,-0.003994025384150688,3.244116173971759e-5,-0.001994676077749465,-0.006332585356681323,-0.0011844646230887868,5.246515074150547e-4,0.01949921624542166,5.869588241927317e-5,6.799743335885065e-7,-2.7358806370422334e-6,5.425855007839803e-4,-2.0344140105663016e-4,-0.04436840985681308,-0.06821862473819419,-0.01879128550461281,0.0014231037481604145,-0.0023498071181188218,-0.0010407306615973421,1.425795590879405e-4,-0.0018931675639816143,-0.02617686817161741,0.0013423337513279753,0.004368104434380401,-1.5040569086584082e-4,0.0010683772632769934,-9.58490792049426e-4,-0.002243443506775053,-3.7092407165259896e-4,1.1491808625280852e-4,6.917378486662406e-4,-0.003363887079405989,-0.07363343018268241,0.0024237658373641446,0.01926479001160296,0.0011911006371146556,0.0011154110791360675,8.599061221514338e-5,-0.0029300632305622174,-0.002173345842542207,-0.0037521814733303877,-0.0010873033723668663,-1.825565879842856e-5,-2.845298226770609e-6,-2.1572773501115672e-6,1.6652925721639494e-4,8.0160640134339e-5,-0.0018216538378995324,0.0068936986019927345,0.008471937716889475,0.005467816545386648,0.002524944253508777,-5.6997743232312e-4,-7.14466956881932e-4,-9.090799269742542e-7,-2.1732393013130084e-4,2.9321766483499262e-5
-0.0034365826426243948,0.0015038209696005198,0.0013180947561579825,0.001271076422291338,0.0012041031644723973,0.0014061696885677587,0.0012805639719247217,0.0013155181482237285,0.001181424068409316,0.001182944199197015,0.0013668546008600915,0.0012953030160744155,0.0014188506030573505,0.0014180636461822672,-8.624721452258013e-4,1.7759174311713983e-5,-1.6645409390788709e-7,1.1775878995899589e-5,-2.766923730543416e-5,2.2893043180561034e-5,0.0019896307573949107,2.180403390190032e-4,7.979211417242428e-4,-5.137369621837544e-5,-9.859318601866924e-6,-1.1280531083195214e-4,-5.084946261067668e-5,-5.91641918400775e-5,4.5730229961031245e-4,-3.759448442472515e-5,-5.463311772937076e-5,5.6394652482682775e-6,6.30821141253969e-6,9.827931046363444e-6,-1.1306343742361591e-5,-1.1377154304745428e-5,-3.3356661863112643e-6,-1.0599111596007622e-5,7.590491377978876e-5,-5.078802376385789e-4,-6.846888029471886e-5,-3.527335385106418e-4,-4.135080463773705e-5,2.8061695929323773e-5,7.120697716645442e-6,3.75502292769093e-5,8.474863845045413e-6,-2.393952444927326e-5,-7.870467039300699e-6,1.139537506129589e-6,-3.848304554908695e-6,-9.010768510877251e-8,-9.725944132542047e-7,-2.0703740361717782e-6,6.592609123995967e-5,-2.0666817267347724e-4,-2.0292248528009826e-5,-3.445815215097067e-5,-5.975582724546579e-5,2.136603722530209e-5,3.8972490860750754e-5,2.1287681369896575e-5,2.283225089119822e-5,-3.053998785114563e-6
-0.002360289306257553,0.00131809475615798,0.0027909997364660272,0.0020912222552241636,0.001916906205303656,0.0021926089828180123,0.001931036345444691,0.0019025868486720076,0.0019916130305772583,0.001999000146637533,0.001874898029301052,0.001845360460324469,0.0019040993025085948,0.001977525549591356,3.2187242053644487e-4,1.4357616109289881e-5,-1.3369322193905573e-7,1.1818898002292556e-4,9.550847062757832e-6,1.2917288794380628e-4,0.0014249232419461663,5.086895181300221e-4,9.711315014102427e-4,-2.254529083602667e-5,3.982516111996237e-5,-6.708644628919339e-5,-1.8531284140932167e-6,-1.0849743915394594e-4,0.001480585903473792,-5.2049839594264015e-5,-1.9490065589597506e-4,6.665006068365235e-6,-1.6950736264277382e-5,3.242064886849488e-5,5.232181060308416e-7,-5.686028792404598e-5,-1.3338589740873743e-6,6.8146160069941674e-06,7.184805873890105e-5,-5.419999532234024e-4,-6.516001317172243e-5,8.698952466110657e-5,-6.045896008906235e-4,5.07543075108867e-5,-2.8663511445023614e-5,7.702328574024113e-5,-4.511424606942327e-5,1.0723923066220224e-4,-9.530387683463186e-6,8.384216155233464e-7,-4.4310988858638126e-6,-7.238564311736236e-7,-1.466592916196816e-6,-1.1375925979714261e-6,-1.6077126027426832e-5,-1.8058207360985905e-4,9.641146720998757e-6,-2.57889728070834e-4,-7.345832249114654e-5,4.761588674137777e-6,2.094960556264101e-5,2.50319695383661e-5,3.185878714411807e-5,-2.9222064971677624e-5
-0.011145516194750371,0.0012710764222913385,0.00209122225522417,0.003010834119128778,0.0024696162295754246,0.0026322584369229936,0.0022592980426350247,0.0021906000683143303,0.0023829995548271636,0.0022174825756162385,0.0021804510293294186,0.0022105674846901566,0.002134877025285575,0.0022139233834153776,-8.702835871410118e-4,1.4883372793804093e-5,-1.2228781142885796e-7,1.0095416502195618e-4,-2.3025069334734393e-5,6.358087892904377e-5,0.001426440401054332,0.0014475659037149606,9.603494794573142e-4,1.2540130028688639e-6,9.291995023946205e-5,-1.8517051571882136e-5,3.9701325531631766e-5,4.1707474577885235e-5,0.0012529655464186586,9.822030509289399e-5,-6.700267103809586e-5,5.6961618063789485e-6,-2.2910972804257036e-5,5.255157366313639e-5,3.360873312578215e-5,-3.233314691508509e-5,-1.8585069848726944e-6,-9.916962629019389e-6,1.32312896693982e-4,-8.909422935270592e-4,-1.478979709968582e-4,-1.0632928183426521e-4,-8.005488290471507e-4,6.0937743681979784e-5,-6.444498033910607e-5,-1.067422148812966e-4,-1.2994944568163252e-4,9.07570942058477e-5,-1.238360514693933e-5,2.867469838136582e-6,-3.2516355115233064e-8,3.1662953082982416e-6,-4.59167741940234e-6,-1.6405637348817333e-6,1.2423998049266094e-4,-3.8278984530431385e-5,-3.3813743614061064e-5,-2.0168769235007629e-4,-7.350395382209793e-5,1.4978472990764188e-5,1.3717732405508989e-5,-1.5094272214317515e-5,1.8471083440353788e-5,-3.261371789793963e-5
-0.011245368235135547,0.0012041031644723973,0.0019169062053036603,0.0024696162295754238,0.0030594497926594547,0.0026524765051750394,0.0021791904146989103,0.0021388373947673002,0.0022574657461788077,0.0019628976840659214,0.0020023598406556853,0.0021363989764365396,0.001845388955592927,0.0020915689503728085,-0.0012879975569876014,-4.650141927679914e-6,3.442724740118776e-8,1.5965915386176405e-4,6.177431049892813e-5,1.1396633871202716e-4,0.001055658200763824,6.866403941491978e-4,0.0010230660412986238,8.756891751793001e-5,9.728259962772815e-5,1.0280341925146628e-4,1.275392616517181e-4,7.73971983727254e-5,0.0012317575650674269,1.3185175579423356e-4,-1.102790708510239e-5,2.689695184832483e-6,-3.084952935546144e-5,4.2938592208057225e-5,4.492938131371396e-5,-3.5576319768839716e-5,9.112984526216476e-6,-1.861180933704215e-5,1.376967677381948e-4,-8.211027253197982e-4,-1.0856061285974785e-4,1.2009187300694027e-4,-7.135734460518511e-4,5.241782695440799e-5,-7.020076481897784e-5,-4.636934033438369e-5,-6.580839242802267e-5,-8.956346002498825e-6,7.990392250595663e-5,3.856767434395965e-6,-1.069699684029442e-6,3.3589020560106446e-6,-2.3132960436962794e-6,-4.388002799800813e-6,1.6197817891584531e-4,-5.845922822583263e-5,-1.990351538440583e-5,-1.3659378100770045e-4,-1.4247884214843194e-4,3.685887732408087e-5,1.0862611236069719e-5,-1.2263972926036508e-5,1.6921530652498776e-5,-4.389044899543201e-5
-0.0083268206332104,0.0014061696885677606,0.0021926089828180166,0.0026322584369229958,0.002652476505175041,0.0034664692503903896,0.0026552628385106292,0.0025974959324340375,0.002730540160082496,0.0025030526698801986,0.0026397124087748124,0.0025559562773876266,0.0025323598059415822,0.0027495149889304807,-0.0014176169586204688,-4.317608169390391e-6,4.982925440724383e-8,7.335357475557503e-5,-8.684509740679874e-6,7.155658027261391e-5,2.6146238840650136e-4,-3.688886544742618e-5,8.327703486286043e-4,8.116269746053462e-5,3.4878999431474396e-6,2.152354585140785e-7,7.051119696262571e-5,7.182200430043886e-5,0.0013752258043377567,1.384728535866787e-4,-8.978772489337257e-5,5.878366730369321e-6,-1.8221669450756112e-5,4.049304410096294e-5,2.470129373917082e-5,-4.5614240915166404e-5,1.6783669130025458e-5,-2.6724411395622735e-5,1.3620141165764346e-4,-9.778501216465164e-4,-1.0201714974861536e-4,1.8314104282496187e-5,-0.0010176764194430536,6.570757276241988e-5,1.6242286684848612e-6,-4.026894681405144e-5,-7.232374383729866e-5,9.294739075993373e-5,5.313525671329842e-7,1.2421550860341048e-6,-1.806025320013763e-6,2.6097962646838465e-6,-4.706175604157242e-6,-2.8217665624573002e-6,1.1885339742604117e-4,1.6751483531386096e-5,6.295030876581177e-5,-2.3002119036112843e-4,-5.629820596599771e-5,2.5468725065582292e-5,1.3174119775014676e-5,-8.411573286835385e-6,1.8510860599181634e-05,-6.273693250311943e-5
-0.005871640329420043,0.001280563971924723,0.0019310363454446942,0.0022592980426350264,0.002179190414698913,0.0026552628385106284,0.0030206109205205447,0.0025010660581978802,0.002573020034063754,0.002406838709257008,0.00242476306172,0.0026886995084347337,0.0024893605088167807,0.0026505652053745578,-3.360890080765121e-4,1.0201466617186162e-5,-1.1427581519758047e-7,9.589294664221666e-5,-1.987404661831379e-5,6.948465184257143e-5,5.948193049164423e-4,6.589062434085261e-4,6.498242066806364e-4,-1.1566651483415491e-5,5.212823345016427e-5,-9.144517610277675e-5,-2.70815699717882e-5,-8.746438057721406e-5,1.1403463692542633e-4,1.1267861442433155e-5,-1.548407894863629e-5,-6.234780069540978e-7,-8.53197008031843e-6,2.8321652008229364e-5,-5.939378764155368e-6,-2.238437570111438e-5,1.9344465151079448e-5,-1.779869779646388e-5,9.283719607342557e-5,-7.6592764391723e-4,-5.918882767281243e-5,5.385634270142389e-4,-0.0012632465278916362,4.4153042292207546e-5,-7.56756697464752e-5,-2.396259563373424e-5,-5.417766054958008e-5,1.4794944471365956e-5,-1.8021056560412802e-5,2.0560493604214783e-6,-4.715824962950437e-7,4.96022686064218e-7,1.6284070670020728e-6,2.212625158314702e-7,7.891758055364223e-5,-3.165382463230277e-5,-9.884933073174134e-6,-5.741284811671343e-5,-3.2159660672275515e-5,2.214526108859382e-5,-1.3722161707722427e-5,-1.866097611713188e-6,2.7237159914126866e-5,-7.09792938297973e-5
-0.006263329619542048,0.0013155181482237268,0.0019025868486720109,0.0021906000683143308,0.0021388373947672985,0.002597495932434032,0.002501066058197875,0.002825231184678125,0.0027972897808802495,0.002623771745581517,0.00256837721177312,0.002454328220535422,0.0025133727345852384,0.0026301985070530374,-3.5546343370982124e-4,8.89468179859586e-6,-1.0222084987541215e-7,8.838032679851943e-5,1.6192277093088334e-6,8.580971842794001e-5,6.813266212570448e-4,4.8056290907288487e-4,5.655139762847816e-4,-3.824882284889734e-6,8.419884769547476e-5,-6.289378901411124e-5,-1.3711541379890236e-5,-8.038518560608456e-5,1.297878120611509e-4,-3.4991979474306474e-6,-7.201857120443652e-5,3.5727653455792383e-6,-4.035512263133132e-6,3.995092081370295e-5,-1.0246155217025676e-5,-2.0731334311089986e-5,1.545090122652724e-5,-1.7623414908322018e-5,9.801510374853865e-5,-8.298321894595157e-4,-1.0377623682786147e-4,1.0095038828961979e-4,-0.0010773433678916095,4.920694780722524e-5,-3.242391811806067e-5,-1.1960856761314772e-5,-8.355852972995589e-5,2.7616829331830133e-5,-1.5129177095061635e-4,9.110407752203958e-7,-1.5489237851152914e-6,1.2976816685530823e-6,-1.2016831864486713e-6,3.546687662415125e-6,4.924486428145063e-5,-4.7428728606225226e-5,2.533616276909149e-5,-4.4675278710744894e-5,6.676175702420917e-5,2.2284261547053985e-5,6.349232770644118e-7,-4.52025286977257e-6,1.2506659447356805e-5,-6.487617423397559e-5
-0.003994025384149428,0.0011814240684093166,0.0019916130305772605,0.0023829995548271636,0.0022574657461788073,0.0027305401600824964,0.0025730200340637554,0.002797289780880258,0.00380922537616147,0.003311627749766442,0.0032073340584818258,0.0030374842044145495,0.0030569042153519403,0.0031441495891715173,6.042358384081497e-4,1.5619634957260802e-5,-1.3233783432143935e-7,7.397434887780653e-5,-1.868538917782508e-5,2.575212383278114e-5,8.511861705148404e-4,4.956976247220855e-4,7.179293226553579e-4,-3.855046490373016e-5,-1.4544296530643088e-5,-1.0943844093230497e-4,-7.510608046023789e-6,-6.295930669914752e-5,0.001347138706654548,3.708884738559986e-5,-2.0590895289553785e-4,7.413569161089729e-6,-9.465457469457117e-6,6.934614486866699e-5,-2.5852115457674175e-5,-6.79674540077718e-5,7.053822757918883e-6,-2.275437752824547e-5,7.41858256804059e-5,-3.728596258703533e-4,-1.4634326039667512e-4,-4.9723011041008444e-5,-0.0014548775143318764,5.624937396244303e-5,3.3735810615619884e-5,-3.4260786733065935e-5,-1.482081430327511e-4,1.0603546264103418e-4,-1.9155445872923987e-4,-7.721608453981875e-7,-6.222861352561422e-8,3.6341945592281074e-6,-4.356750465652376e-6,4.776719602850015e-6,-8.816528558399632e-5,-5.730443897514753e-5,6.316832985193929e-5,-2.1918156108161245e-4,8.487638282662933e-5,1.621602418286439e-5,-5.381171544437083e-6,-1.4388303214060261e-5,3.329338770222905e-5,-6.87444849861675e-5
3.2441161739438184e-5,0.0011829441991970237,0.0019990001466375505,0.0022174825756162446,0.0019628976840659323,0.0025030526698802042,0.0024068387092570135,0.0026237717455815258,0.0033116277497664366,0.0035760389069174952,0.0032857102760040125,0.0029113822013657497,0.003029992481456808,0.0031161029193795035,1.5214225513367647e-4,2.124719722115325e-5,-1.8601962274201468e-7,4.6608734804488874e-5,-4.34455059605944e-5,2.577318101295141e-6,7.549773140683564e-4,0.001000241979711588,2.488187665782845e-4,-2.5587830734686195e-5,6.610339246026919e-5,-5.689705618556156e-5,-1.5871906757009113e-5,-4.072323476383715e-5,0.0010878717232343114,5.915224745230914e-5,-2.245044830358568e-4,7.502327241410491e-6,-5.929821858870273e-6,7.276435128257151e-5,-5.6506074552043444e-5,-7.724918670812732e-5,-1.770885275541455e-6,-8.66165041305967e-6,6.092993105498316e-5,-3.9685594267058796e-4,-1.2266849467973493e-4,-6.447756788963449e-5,-0.0010825376066137214,4.8898416230421235e-5,-7.073873452960259e-7,-3.908694969318e-5,-1.2241851298540123e-4,7.774958640834867e-5,-1.8953783372732975e-4,-8.639061645513547e-7,-6.506942572038234e-7,1.690586583044576e-6,-2.1642824277434028e-6,5.12743888016325e-6,-1.1686653161145878e-5,-4.342388036442318e-5,-1.0243665162458271e-6,-1.797167082592778e-4,1.3050915440387552e-4,5.0469869937000955e-6,-1.3436231566255688e-5,-1.1630528570055786e-5,8.331839161813743e-6,-7.636787004983946e-5
-0.0019946760777491902,0.0013668546008600852,0.0018748980293010488,0.0021804510293294108,0.0020023598406556774,0.0026397124087747977,0.0024247630617199884,0.002568377211773114,0.0032073340584818054,0.003285710276004,0.003953881326935195,0.0030675428253271794,0.0033429898129803378,0.0034119288329397006,-5.171444311442017e-5,2.5028296693744373e-5,-2.0302933059877285e-7,-9.263028807386522e-5,-1.6611320045425526e-4,-8.466045542639242e-5,0.0019394185240160199,0.0013681804184249656,8.360134889153411e-4,-1.2014960159455742e-4,-1.974970451403718e-6,-2.193332080552278e-4,-9.243022041989867e-6,3.4278177780026234e-5,0.0011108364214136369,3.0377928981311975e-5,-2.755459588657541e-4,1.0032060413046242e-5,-3.8190822119649284e-6,7.52761537036668e-5,-1.355657431058325e-5,-8.083403340075989e-5,-1.0370817363774453e-5,-2.8920017040398228e-5,1.0644707873234549e-4,-8.352459371253167e-4,-1.3376093072785944e-4,-1.572937670068949e-4,-0.0010680335363226472,7.050529583484827e-5,5.706338505827728e-5,7.834254874767425e-6,-1.946291668318256e-5,1.1038262291884216e-4,-1.0373799344236834e-4,-1.0356846487799754e-6,-1.3842967761186244e-6,2.1132584562116128e-6,-4.395711829657007e-6,1.757567472789167e-6,-4.659957076894843e-5,-1.98109736817695e-4,-1.2671259253818268e-4,-1.9255109645720248e-4,7.792009758059421e-6,8.3020357035002e-6,7.920067504197358e-6,-1.5540231470635282e-5,2.244168637114299e-5,-6.729677056268705e-5
-0.006332585356680784,0.0012953030160744112,0.0018453604603244674,0.0022105674846901505,0.002136398976436537,0.002555956277387619,0.0026886995084347293,0.0024543282205354215,0.0030374842044145443,0.002911382201365744,0.0030675428253271898,0.0043886417398260325,0.0037010568954476,0.0035350517074995242,2.8769758970926445e-4,2.8530927570560277e-5,-3.419174353423974e-7,-2.27763368876463e-5,-9.173917689958912e-5,-3.4128475954401e-5,-2.2497565384468709e-4,8.971647846467604e-4,-1.4508533995460883e-4,-1.0092055299061877e-4,-3.373630765732543e-5,-2.1307122349996233e-4,-1.1802549979124452e-4,-2.197919738204275e-5,-1.510697258909088e-4,1.5857008598642273e-5,-3.273057340129833e-5,3.7395034920588496e-6,-1.3507665498153092e-5,6.954131988253286e-5,-1.9672655952437557e-5,-6.88195737356854e-5,7.491025877013958e-7,-3.705886480508484e-5,9.937135642854699e-5,-3.300174687919591e-4,1.2046531031614089e-5,4.402867108420641e-4,-0.0011312726391923794,3.702101694705814e-5,-3.423645519168603e-5,-1.9104160387119288e-4,-2.248246541672572e-4,1.343308240549681e-4,-7.32471552097638e-5,7.672780084136076e-7,7.185921566160812e-6,4.043109824632559e-6,-1.490111455371473e-6,5.702082634549525e-7,-2.328938394017761e-7,1.4188344376432936e-4,8.320574033601047e-5,-1.081120123089705e-4,9.42086756068246e-5,-6.1767801031090566e-6,-1.460433930420428e-6,-3.3674519033083944e-5,2.6810786091254572e-5,-3.0448666406181266e-5
-0.001184464623089856,0.0014188506030573486,0.001904099302508599,0.002134877025285568,0.0018453889555929204,0.0025323598059415675,0.0024893605088167617,0.0025133727345852254,0.003056904215351909,0.003029992481456779,0.0033429898129803217,0.0037010568954475797,0.00424189116001499,0.003689006090626216,1.3312482799350629e-4,2.7815086637809662e-5,-3.432241776299318e-7,-1.7328620319768118e-5,-1.032772998347773e-4,-8.334997703409078e-5,0.0011799499509889551,1.483148293502548e-4,-5.014302326768172e-4,-1.2908069406693473e-4,2.3643675276835558e-5,-2.0526474433010456e-4,-5.704689522867726e-5,4.984985123930717e-5,8.886575174100843e-4,7.492783744590488e-5,-1.9956699578009177e-4,1.1213997163872821e-5,4.584607349414264e-6,7.049651906952782e-5,-2.425939526538786e-5,-5.8322098889091145e-5,-1.8701593272142888e-6,-3.27639250784066e-5,9.105605508426361e-5,-0.0010045085301027355,-2.1131884482010427e-5,-8.045178227116472e-5,-9.704720270026804e-4,5.52719270134144e-5,6.345177735827763e-5,-9.043742151947133e-5,-1.3718914090348229e-4,1.8312865097498305e-4,-4.0564466133952936e-5,-5.287000538797428e-7,4.603014841405833e-6,5.112925889764163e-6,-6.181535392047765e-6,-4.441218488040921e-7,-6.373352846868393e-5,-6.737316383438838e-5,7.771680043106367e-5,-2.252575445757959e-4,9.977351188532714e-5,1.046050347988394e-5,1.372070654481891e-5,-2.962919612890648e-5,1.7402213926725408e-5,-1.0133419556994997e-5
5.246515074158362e-4,0.0014180636461822598,0.001977525549591354,0.0022139233834153715,0.0020915689503728033,0.002749514988930469,0.002650565205374548,0.002630198507053034,0.0031441495891714926,0.0031161029193794956,0.003411928832939703,0.003535051707499515,0.003689006090626247,0.004488497312615732,-4.992239317608845e-5,2.5427666191750374e-5,-3.151770896016654e-7,-1.7740058554529624e-7,-9.959130735301302e-6,7.438546541249269e-6,0.0011931960957082086,6.424798050420544e-4,8.283259023846239e-4,-1.4886625817648984e-4,-1.3253700750422355e-5,-1.4091876536422883e-4,-9.003919378826682e-5,-4.958385992219143e-5,5.183953962392071e-4,4.09648208262373e-5,1.621601574270071e-5,4.718335040924841e-6,-8.058177729907128e-6,7.0443831302251e-5,5.095878648834295e-6,-7.344685237448896e-5,-2.5364630464876027e-6,-2.6822751456385536e-5,9.374486889799647e-5,-0.0014360644112300601,7.216900653499424e-6,2.8566391623691714e-4,-0.0010061384605385964,6.417593655051314e-5,-3.5587389201307525e-5,-9.812906658463763e-5,-9.838123468652297e-5,-1.1865322953452371e-5,2.472576110479585e-5,1.2963963621509024e-6,7.669696664548079e-7,1.1611253076892356e-6,3.5436120899712294e-7,-2.1654102936829707e-6,2.5832648444767838e-5,-4.184180689543274e-5,2.360728217973062e-5,-6.321301488159181e-5,-8.139355195371736e-5,9.65113792453267e-6,1.0548203485555201e-5,-3.0203293461678778e-5,2.931592832232585e-5,-4.6819056046053805e-5
0.019499216245425922,-8.624721452258273e-4,3.2187242053642633e-4,-8.70283587141038e-4,-0.0012879975569875949,-0.001417616958620508,-3.360890080765259e-4,-3.554634337098053e-4,6.042358384081136e-4,1.5214225513366904e-4,-5.171444311446848e-5,2.876975897092855e-4,1.3312482799348943e-4,-4.992239317612806e-5,0.015239449089485286,7.5650221426808125e-6,-9.029376217216015e-8,-6.73572926542052e-5,-6.798734742634884e-5,-3.687255756318069e-5,-2.6861637304629026e-4,-6.525306396870866e-5,-0.001108676412509839,-4.15463356068502e-4,-1.867391902184504e-4,-3.487804066950345e-4,-3.0157361092788274e-4,-5.117290882095662e-5,5.41483708875551e-4,-4.045388084836519e-4,-6.395873670807478e-4,1.1549080388955938e-5,-6.1595807969184815e-6,4.806112632048563e-5,-9.015304076747848e-5,-7.741886423053665e-5,-1.414372636757091e-5,2.1872287654309867e-5,-1.873133070776131e-4,0.0012277765355880428,1.1042025200204773e-4,0.0010033248133360878,-0.0019201472853733032,3.2121294518264824e-5,9.323124739025638e-4,8.346114611500296e-5,4.798470344512013e-6,3.2878778133306567e-4,-1.9014852183977371e-4,-3.630835239382804e-5,1.6466515705706869e-6,-1.1045719766132243e-5,3.953728733471667e-6,2.314432931394022e-5,-0.0021472447472696715,-2.9094624171714117e-5,8.392794512447929e-5,-3.514987302617146e-4,1.3833116937925474e-4,-5.6696314406070834e-5,-6.049260336612157e-5,-1.8879021660852172e-5,1.1375741085363123e-4,2.6976140537928538e-5
