(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,gdp,growth
0.13289625565948818,4.1975072112091253e-4,-0.0020399606392712843,-7.812266888464453e-4,-0.0012671155132639217,-1.0524275785416069e-4,-9.038863356536813e-4,-8.59361423714519e-4,0.0015139341981894358,0.0016242879096887652,0.004751356242656579,3.798075435663611e-4,0.0025654567872566074,0.0015883863515029535,-1.7538944021306473e-5,1.1753989773448297e-4,-9.401251423407888e-7,-0.0018803563918544353,-0.001332871896259883,-0.0010980291834524073,-5.280312023781435e-4,-0.0012524989992141898,-0.0024860029434474644,5.318441821010917e-4,-5.112705235518566e-4,0.00104746593414237,-1.3715451089015875e-4,3.5443787328844057e-4,-9.320280928991952e-4,0.0012452962188975703,-1.6690744292358116e-4,-6.71618953413711e-4,-6.599901112115432e-4,-5.026423840900205e-4,-4.614514776920029e-4,2.8096691021733226e-5,-0.013469678947982075,-5.708575646243205e-4
4.19750721120932e-4,0.001417194271525086,0.0011017822513334987,9.229111784109457e-4,0.0010076489756727775,0.0010388736603134422,9.179136071187072e-4,0.0010448984476196979,9.0251799108881e-4,8.628697931376404e-4,9.357225829739037e-4,8.391936844449352e-4,9.012942346689161e-4,0.001026247592930928,-1.5942277375261788e-5,1.3379534457590412e-6,3.867709724073762e-9,4.067309600307863e-5,3.3716968831199674e-5,6.84791249172909e-5,-1.0714340299939323e-5,1.3600875344540106e-5,-5.289867081584082e-5,2.4603027147597065e-5,9.155696075400864e-6,1.1563911793892327e-5,-8.764737702148443e-6,-6.0643553442080015e-5,2.951628715655271e-5,-3.844920412635311e-5,8.195145556459704e-6,6.826149116772146e-5,-4.793863360626952e-5,-4.649064430196427e-5,6.897849611183614e-5,-9.715945792495546e-7,-2.1054697547021682e-4,3.17100432727715e-5
-0.0020399606392712496,0.0011017822513334976,0.002659429716171337,0.0017966284423208117,0.0016471992083344398,0.0017880047665190869,0.0015527114927613803,0.0014732713913907303,0.0016552340909004907,0.0015303347974497856,0.0014774932479883307,0.0016278072479825622,0.0014650645419797637,0.0014440898779480096,4.256343148786351e-5,-3.261696631334684e-6,7.740197403715243e-8,9.278493118843716e-5,3.722291781669257e-5,5.2208264227441534e-5,3.106001413969122e-6,7.93102951347062e-5,-1.1470274714935604e-5,6.020669190286574e-5,3.8162403807950814e-5,-7.949856490503864e-5,-5.0264081848856494e-5,-1.0716581940325835e-4,1.532933819879813e-4,-3.627334795061843e-5,8.461665801948085e-5,2.9841098010719862e-5,-4.1207473387884583e-05,-8.491529147017368e-6,-6.064220116171658e-5,1.2769140780598986e-6,3.751898911567335e-5,-9.379321371553444e-6
-7.812266888464443e-4,9.229111784109444e-4,0.0017966284423208115,0.0023468686676005202,0.0019314585613584361,0.0019343386930758702,0.0015221190715911834,0.0013501056716231246,0.0014823794707216887,0.0012753379533960555,0.0011959960941044538,0.001401784500981624,0.0011740930558338883,0.0013395508002433231,3.7674288610158544e-5,-4.349537026123446e-6,8.415669501195534e-8,1.169757639916208e-4,7.166594428282263e-5,5.349582091390795e-5,-2.40107661173937e-7,9.53932203642236e-5,6.623071527222584e-5,1.7334054465340695e-5,6.23817894791164e-5,-4.621920289095018e-5,-1.680762625543787e-5,-1.9251472488970626e-5,1.2106861803928764e-4,-4.4982146926895784e-5,4.34668106539773e-5,4.473112793950248e-5,4.5062649514481326e-5,7.2479152444468805e-6,2.859010538278208e-6,2.376308305311437e-7,-1.3094783895846958e-4,-1.0799021508530397e-4
-0.001267115513263901,0.0010076489756727757,0.00164719920833444,0.0019314585613584333,0.0025467306289261847,0.0020488990190976448,0.0016145516429976578,0.0015287652706687544,0.00170162895272718,0.001443795821132747,0.0013584277775146969,0.0015503428447128285,0.001195098574717957,0.0014825685665975996,4.802169367426088e-6,-2.3621619990157456e-5,2.4230736156463985e-7,1.6410075154835613e-4,1.3818983676022035e-4,9.795374450898067e-5,4.8761898356714264e-5,1.2644166791650615e-4,1.5116428041928666e-4,-2.5159843980595013e-5,1.1270535313886721e-4,-3.413900802091705e-5,5.443007044134121e-6,-1.7957087134954838e-5,1.6179834561978e-4,-1.2917740612376186e-4,7.527653352773562e-5,8.197119701292783e-5,5.084514518210348e-5,2.3039108373183095e-5,6.965414171202339e-5,-2.2646600405488185e-6,-8.77629268057993e-5,-6.788253841581134e-5
-1.0524275785413159e-4,0.0010388736603134437,0.0017880047665190905,0.0019343386930758743,0.0020488990190976504,0.0028002299596310318,0.0020245890791835354,0.0019015878882555886,0.0019620022233599794,0.001765521096967526,0.0017819131150075516,0.0017885973107878489,0.001621641781910731,0.0018721710824410069,-1.0858739850151675e-4,-2.293478374184559e-5,2.332561308647073e-7,9.741315607625555e-5,6.75498848319297e-5,1.0079455005200406e-4,4.298611329266144e-5,6.077934073079889e-5,8.421830383495504e-5,4.322499717636606e-5,5.1455223215758914e-5,-4.932801825804594e-6,-2.668490538965635e-5,-5.247344557504601e-5,1.2219863696338125e-4,-2.1258823638232874e-4,6.636648161691265e-5,1.1780617389515125e-4,8.231684961384366e-5,8.36937119054927e-5,2.898205803227941e-5,-1.357075530737414e-6,-1.9941158536065893e-4,-6.584573783196899e-5
-9.038863356536501e-4,9.179136071187014e-4,0.0015527114927613756,0.001522119071591178,0.0016145516429976537,0.0020245890791835263,0.0023553743357338547,0.0019383918799178576,0.0019730488746905607,0.0018791493452452303,0.0017887963804850671,0.0020186746073499844,0.0017896067172309168,0.002013978777463546,-1.7520410257807603e-5,-9.113521584021181e-6,7.780660973406307e-8,1.1000314761107789e-4,6.417848542044633e-5,5.3245043110525975e-5,-2.0174355388123735e-5,9.587802468950826e-5,2.018011987679891e-5,1.9262251628826028e-5,6.89079188811714e-5,-5.3324527059531896e-5,-7.29684825504195e-5,-1.4133896218305217e-4,1.43226623746105e-4,-1.7652828150111383e-4,4.4378500696069926e-5,5.513994169011524e-5,-2.263215540583848e-5,5.981496388512305e-5,-4.342797664476429e-5,-6.471820299538231e-7,-6.746154689330555e-5,-1.5291352291437053e-5
-8.593614237145094e-4,0.001044898447619696,0.0014732713913907297,0.0013501056716231222,0.0015287652706687542,0.0019015878882555832,0.00193839187991786,0.0022884457225232973,0.002249471951897708,0.0021981014081263023,0.0019798397699752777,0.0019306956618939648,0.0018199604589876797,0.002105517882355375,-1.4060020710920091e-6,-1.4985226470175591e-5,1.1983469839083718e-7,1.0824174419627249e-4,1.1647982370497644e-4,9.802691948810633e-5,1.2710758114664899e-5,7.079788290745938e-5,2.7449414209964723e-5,-6.784541109924862e-6,3.209595902289329e-5,-4.3557855368269836e-5,-5.243621974840567e-5,-2.0101346574588364e-4,1.551100269134076e-4,-1.384971296034903e-4,3.736548979956372e-5,7.0533133395065e-5,-6.005212521905244e-5,7.154499950951125e-5,-1.4154462460733028e-4,1.3440347068995976e-6,3.705945977197986e-5,-4.042227283021562e-5
0.0015139341981894017,9.025179910888099e-4,0.0016552340909004905,0.001482379470721687,0.0017016289527271786,0.001962002223359975,0.0019730488746905633,0.0022494719518977085,0.0031741620451851585,0.002858304194883086,0.0026701104609379747,0.002404301565615498,0.0023410835297600343,0.0025743110231398166,9.535732223826702e-5,-1.4846181013005288e-5,1.5107120041441664e-7,9.302835323151892e-5,1.2363989550926552e-4,4.671937274906133e-5,6.575154193616427e-6,-6.455873795648819e-6,9.022441621141868e-6,-4.298904323554454e-6,2.5936686661756694e-5,-5.856773782539302e-5,-5.542616919391706e-5,-2.1926155216471353e-4,1.8681798832366966e-4,-6.865113326428328e-5,7.340920722384803e-5,1.5523263540844306e-5,-4.065345855726096e-5,6.113010962549566e-5,-2.579336410840543e-4,3.462150909376029e-6,-1.4078470717365188e-4,-9.85688562675952e-5
0.0016242879096887695,8.628697931376369e-4,0.0015303347974497843,0.0012753379533960545,0.0014437958211327446,0.0017655210969675207,0.001879149345245234,0.002198101408126301,0.0028583041948830883,0.0031556429743738704,0.0028533557899648736,0.002360083797713794,0.002416218385943287,0.0025956437880376455,8.154172446287506e-5,-1.2795851593396266e-5,1.1407269219947042e-7,6.374078686720923e-5,9.940242178319495e-5,1.7156585962704878e-5,1.560461859848706e-5,2.899293114735876e-5,4.941859131245278e-5,1.8888210353894262e-7,5.08822184671282e-5,-8.14514650769441e-5,-5.760864925941064e-5,-1.8304399908856478e-4,2.249208374946289e-4,-1.030897883866404e-4,4.637601199536987e-5,2.0270759535979515e-5,-2.7562322698433504e-5,1.0297134618138402e-4,-3.0629065505853066e-4,4.217526740843023e-6,-1.2643999545716394e-4,-1.0681630491477575e-4
0.004751356242656661,9.357225829739018e-4,0.0014774932479883307,0.001195996094104452,0.0013584277775146956,0.0017819131150075462,0.0017887963804850715,0.001979839769975277,0.0026701104609379795,0.0028533557899648727,0.003379920471547835,0.0023536579652144083,0.0026420235100938147,0.002746678089726439,4.0479583569777256e-5,-7.642211492064634e-6,5.957700204796366e-8,-4.598037042836303e-5,-1.253129642736573e-6,-2.2160489632998762e-5,-4.664672496078104e-5,-1.6647587817865623e-5,-7.151082155406242e-5,1.807862849712906e-5,4.048613865616921e-5,-4.763120572806678e-5,-5.949076162375716e-5,-1.5008094832144302e-4,1.589568308356282e-4,-6.835382418156161e-5,3.716146901988556e-5,5.279622931454473e-6,-5.899766822896915e-5,7.963101550736068e-5,-2.1733033485479893e-4,3.1663904698227603e-6,-5.025177124896321e-4,-8.687448966798436e-5
3.7980754356634565e-4,8.391936844449349e-4,0.0016278072479825626,0.0014017845009816237,0.0015503428447128295,0.0017885973107878445,0.0020186746073499865,0.0019306956618939672,0.0024043015656155,0.0023600837977137933,0.0023536579652144065,0.003874355277697163,0.0030471013804109193,0.0028661605635687372,2.0158237647526625e-4,-7.727474210128829e-6,-2.33847205664627e-8,9.742052895983633e-5,1.3974674778990286e-4,6.295591774587234e-5,-4.197786121256816e-5,-4.748004729015923e-5,3.6944020901506204e-5,-6.0988479376770904e-5,7.868496787934887e-5,-1.4594627275410095e-4,-1.2829125949985457e-4,-2.0888485750556425e-4,2.5485499503218436e-4,-2.6222927440308093e-4,6.324767486860307e-5,-1.3299305304243555e-4,-7.923710365527176e-5,7.768930491259225e-5,-2.0226622986292632e-4,3.0525892153152146e-6,-1.1526677516781694e-4,9.105975411991118e-5
0.002565456787256539,9.012942346689158e-4,0.0014650645419797645,0.0011740930558338857,0.001195098574717959,0.0016216417819107272,0.0017896067172309216,0.0018199604589876801,0.002341083529760033,0.002416218385943287,0.0026420235100938112,0.0030471013804109193,0.0035715746251946145,0.0029599038457751364,1.6822233040437795e-4,-6.808373846538711e-6,-6.401397682753875e-8,6.427254280758876e-5,8.922266129412162e-5,1.2843288790125721e-5,-7.713299025368282e-5,1.6423673601249462e-6,-8.427079364070592e-6,-2.9483001752395143e-5,5.157199007610376e-5,-1.084779804336996e-4,-4.496992282368278e-5,-1.4779475829069903e-4,2.5352667425078374e-4,-1.691737197913511e-4,4.3996175106072115e-05,-7.847836504842872e-5,-1.3448320980753293e-5,1.1798777464610512e-4,-1.738448346995785e-4,4.7548039870859204e-6,-3.851508509502551e-4,4.2337523128121745e-5
0.0015883863515030413,0.0010262475929309319,0.0014440898779480137,0.0013395508002433268,0.0014825685665976036,0.0018721710824410086,0.002013978777463554,0.0021055178823553827,0.002574311023139824,0.002595643788037655,0.0027466780897264435,0.0028661605635687446,0.0029599038457751425,0.0037386226813791714,1.1805184614853065e-4,-1.0552860188367303e-5,-9.577357424282787e-9,5.1613977730619884e-5,1.535410006949091e-4,7.812728049817294e-5,-1.1962242095564857e-4,-1.1604098165330368e-5,3.1377388171569386e-5,-2.456541664154338e-5,3.507705019899847e-5,-7.440905649085321e-5,-6.661462296800154e-5,-2.2496190458513857e-4,2.130281331725213e-4,-1.7119331565129323e-4,5.8893573332583164e-5,-2.2416200298314772e-5,-7.030789116431952e-5,9.387962913434815e-5,-1.0904003550513965e-4,6.304970768350328e-7,-2.844145675079411e-4,2.7720987467944397e-5
-1.7538944021304396e-5,-1.5942277375261788e-5,4.256343148786358e-5,3.767428861015866e-5,4.802169367426099e-6,-1.085873985015169e-4,-1.7520410257807366e-5,-1.40600207109198e-6,9.535732223826694e-5,8.154172446287504e-5,4.0479583569777533e-5,2.015823764752663e-4,1.6822233040437808e-4,1.1805184614853077e-4,1.9026825546930159e-4,1.333387992355602e-5,-1.3863235274110695e-7,-1.411108883569192e-6,8.713556683862823e-7,-1.650770820063472e-5,-7.323105628183056e-5,-3.5065350077544e-5,-2.3598039719136773e-5,-1.905638848923006e-5,-1.800306599921675e-5,-2.3968331244317154e-5,-6.37260929347466e-6,-7.183301283400425e-5,-3.4285525452793175e-5,2.5783977373444978e-5,-9.143998848526656e-6,-5.8231626214298466e-5,-5.578199294122619e-5,-6.124710789642185e-5,3.437355974008037e-6,-3.110903989975574e-7,-1.5559759321067213e-5,3.122978666334639e-5
1.1753989773448239e-4,1.3379534457591359e-6,-3.2616966313350458e-6,-4.349537026123647e-6,-2.362161999015756e-5,-2.2934783741845678e-5,-9.113521584021107e-6,-1.4985226470175693e-5,-1.4846181013005225e-5,-1.2795851593396095e-5,-7.642211492064495e-6,-7.727474210128787e-6,-6.8083738465384446e-6,-1.055286018836768e-5,1.3333879923556012e-5,6.835573501228366e-6,-6.586863717656738e-8,-1.753524423621322e-5,-2.4276734004481557e-5,-1.5213827735754999e-5,-1.751573092072539e-5,-4.183007617085859e-6,-2.8796138722094043e-5,5.242276776891291e-7,-9.110377804648244e-6,1.1635128869540265e-6,-2.2785572849778827e-6,-1.3272879987114076e-5,-1.323312059702803e-5,9.424247501796527e-6,-3.7066632065438788e-6,-8.865407154882323e-6,-1.3823044383854034e-5,-1.1896076053608792e-5,-3.406397468934952e-6,2.713145903544152e-7,-1.78015007245734e-5,2.695530085302864e-6
-9.401251423407974e-7,3.867709724073742e-9,7.74019740371569e-8,8.415669501195816e-8,2.4230736156464155e-7,2.3325613086470873e-7,7.780660973406291e-8,1.1983469839083885e-7,1.5107120041441624e-7,1.1407269219946881e-7,5.957700204796225e-8,-2.3384720566462697e-8,-6.40139768275408e-8,-9.577357424278496e-9,-1.3863235274110669e-7,-6.58686371765678e-8,7.201339910760697e-10,1.4254155338669945e-7,1.8247767154120132e-7,1.2757316553593142e-7,1.3998126035872645e-7,3.476401775199557e-8,2.4121928276657416e-7,1.3888548815631599e-8,8.509150578310419e-8,4.258288146932935e-9,1.468001948785559e-8,1.2058127658751233e-7,1.0626713764586694e-7,-6.269704705608898e-8,1.6037838180874015e-8,8.93399242987965e-8,9.049006430649697e-8,7.556239389985589e-8,5.9019335831988515e-8,-3.5980483958341893e-9,1.4418721714981386e-7,-4.609520656065716e-8
-0.001880356391854439,4.0673096003078386e-5,9.27849311884384e-5,1.1697576399162147e-4,1.641007515483565e-4,9.741315607625572e-5,1.1000314761107765e-4,1.0824174419627299e-4,9.30283532315187e-5,6.374078686720869e-5,-4.598037042836355e-5,9.742052895983622e-5,6.427254280758783e-5,5.161397773062092e-5,-1.411108883569179e-6,-1.7535244236213065e-5,1.4254155338669585e-7,2.65780016655406e-4,2.226948268059784e-4,1.4284039551659195e-4,7.918127545385342e-5,5.8095558134838184e-5,2.047242879584921e-4,-3.957490732738611e-5,5.431850293921554e-5,-1.6124401588000372e-5,3.910509921124863e-5,5.910075709958251e-6,1.4560470972115692e-4,-4.880371208025425e-5,3.941649022656783e-5,2.0368328606297682e-5,8.630399224724427e-5,1.0609290368441278e-4,-4.3334291574436205e-6,-1.1193558288183512e-6,1.6921493811753488e-4,-1.280327020802871e-5
