(Intercept),year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018,year2019,year2020,year2021,year2022,gendermale,age,age_squared,relationship_statuspartnered,relationship_statusseparated,relationship_statuswidowed,food1,housing1,health1,water1,air1,healthcare1,security1,social_support1,respect1,education1,interesting_activity1,recreation1,occupation1,freedom1,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,government_effectiveness,democracy,social_protection,personal_income:democracy,democracy:relative_income,democracy:gdp,democracy:growth
0.7362151558906083,-0.0019190228472150631,-0.004000845357671015,-0.00798571418830756,-0.0077647465876328325,-0.012098946777331115,-0.009347556886887749,-0.008251654384904532,-0.005213703079350423,-0.0010631363595119121,-0.0024693207859018706,-0.0072464663753458195,-0.003954026717992532,-5.716032604334988e-4,0.002439734971624905,4.780980371681161e-5,-9.24090625076024e-8,-2.2083070235941402e-4,0.0017001769816996502,4.606620024817915e-4,6.764094849443527e-6,-0.002627306388578433,-6.041754044157935e-4,-6.886560622254369e-4,-1.5880952963120347e-4,-0.0010641259010288294,-2.3790261306011083e-4,-0.001477228390356346,4.887611749060094e-4,0.0026159915160903725,5.40195984048861e-4,-0.001664231118239889,7.823426913820287e-4,-4.337690793319881e-4,-6.44405704194399e-4,-1.87636531150899e-5,4.571081040477904e-4,-3.8319296204161404e-4,-0.0011598255179946242,1.7915579458854173e-4,-3.861760510664028e-4,1.9571237911420296e-4,3.444548125218861e-4,1.1561425005193996e-4,-0.0014468304912232904,5.106306520357582e-4,3.3253189658485313e-4,-1.9384057334003994e-4,-0.0026592736338386927,7.753779243046734e-5,-0.03773931907301603,4.534083694940753e-4,0.014007593623760807,0.10066855430228513,5.965946918230945e-4,7.234568673429041e-4,-4.555163870036194e-7,-0.011065022184768285,-6.233246097624003e-4
-0.0019190228472151672,0.0013854196539090139,0.001096749333481833,0.0011073955619318014,0.0010836089876599228,0.001258071592150043,0.0011875867663014002,0.0011391470668474523,9.97054339660987e-4,0.001028962555330736,0.0011610914614329957,0.0012813990782759221,0.0012104437855687282,0.001191136132294333,-2.8618721732456598e-5,1.2117526560864626e-5,-1.027340568117806e-7,-2.498950346120029e-6,-3.919881083322933e-6,2.0585459122113375e-5,-5.646738573029438e-5,-1.2240918719395598e-5,-8.364268247090719e-5,4.3757297442762194e-5,3.6822096192481594e-6,2.7936609397808716e-5,-1.7088174898919718e-5,-4.957627868329872e-5,-1.9633269498985844e-7,-5.443748580970692e-5,2.3798208123727853e-6,3.1333448002444136e-5,-4.776154541472697e-5,-3.913770372851573e-5,2.6052711927845873e-5,2.8495814804419536e-7,2.590608017030106e-6,8.593071879616993e-6,-2.5740629689005053e-6,-1.441094753832762e-5,1.2717310666291956e-5,7.582046214159167e-6,-7.955377206165311e-6,6.111585838329981e-6,-4.477043948197317e-6,-5.2510165779495854e-6,-1.928615098885968e-5,-6.555949246234989e-6,5.4728282800017604e-5,-9.571372841577541e-6,-3.2829864361967555e-4,-7.834868957733714e-6,-1.1419184982494402e-4,3.4294140240609673e-5,9.354861901843083e-6,-2.639077467580058e-5,4.382984593619988e-7,1.6261739951554798e-5,-5.411940960332336e-7
-0.004000845357671073,0.0010967493334818313,0.002522360617490405,0.0018638558300331036,0.0017163806347475507,0.0020053091391470535,0.0019809812108146016,0.001922439531661312,0.0019866915192163354,0.0020137719469259237,0.001854755220157043,0.0020061874581896845,0.0018939309503329751,0.0017326507593179944,-7.565892036657312e-6,7.718094601579767e-6,-1.9455103789538522e-8,2.766145667262705e-5,-6.532559500239824e-5,3.887482582032013e-5,-3.748774722563046e-5,6.684299038793496e-5,-1.019895417185242e-4,6.971203299537377e-5,3.145717614010262e-5,-5.7002810376579894e-5,-1.9812574795882602e-5,-1.2491315706800388e-4,8.412401270578595e-5,-5.943610005861799e-5,7.752579890406377e-5,3.750327665071783e-5,-8.143675988932643e-5,-3.7805865723275546e-5,-1.197166440915453e-4,2.2181271750410023e-6,-2.518197661551551e-5,2.8568733382907776e-5,-2.8308046322792933e-5,-1.1426109437561563e-5,2.6076361094482334e-5,-1.3863617805723895e-6,-3.3037127478376836e-5,1.4580862793008883e-5,-3.2348482492051727e-5,1.7313229532236634e-5,-2.3300528880124686e-5,3.247953091754237e-5,4.806142498724439e-5,-2.0675860122392846e-5,1.1573354267337103e-4,-2.827283217589863e-6,3.968565159168086e-4,-0.003585387266501501,1.283885361200757e-5,-1.2148454506999613e-4,2.0478370514491904e-6,4.119892209530191e-4,-1.2388123748788325e-5
-0.00798571418830754,0.0011073955619318057,0.0018638558300331134,0.0027213564815828225,0.0022646730758052735,0.002400242284511089,0.0021049205456444326,0.0020641981531679737,0.0021991787378640884,0.002137963964107552,0.002033226663395607,0.002078387730868629,0.001982382326854686,0.002052589411775712,-3.581485790533057e-5,7.926295078712124e-6,-2.5956177919883225e-8,5.157688641535314e-5,-4.1540262852056044e-5,3.667944451907082e-5,-2.4886546341346304e-5,9.245084964964427e-5,1.6429557678686521e-6,2.8601024080364394e-5,3.4498714672683955e-5,-4.522742510785183e-5,1.8868129891409185e-5,-1.4451549506382264e-5,1.0802133699080705e-4,-7.792344283966342e-5,5.9808697833204634e-5,6.706886717641756e-5,6.218982209300426e-5,1.298076291873135e-5,-6.259541946015955e-5,2.9690954246754207e-6,-2.8659115377991572e-5,5.163430503990274e-5,1.7993165512276978e-5,-5.443949550454512e-6,1.213110596128252e-5,-2.1827545965452187e-6,-1.4865348169794047e-5,1.4338929704224858e-5,-1.4278846344985801e-5,3.3077948870355382e-6,-1.6446830805338474e-5,4.040631388715284e-6,1.0089009778808464e-4,-8.912249283245532e-6,-7.08534178017207e-4,-1.1771870440905122e-4,1.874900799070934e-4,-9.766426978503435e-4,2.7207077831901405e-5,-6.399727381596803e-5,8.626038352717951e-7,9.745047114729866e-5,-6.532347865716089e-5
-0.0077647465876326685,0.0010836089876599254,0.0017163806347475542,0.0022646730758052675,0.0030817555133440915,0.0026193625994172364,0.0022128112744719632,0.002151529711069888,0.0022391713701274446,0.002089486586478684,0.002005406727138662,0.002115315653536974,0.0018958617167839046,0.0020691344577398957,-5.646534031917781e-5,-1.479678132832646e-5,1.5961542531304177e-7,1.1136708133184967e-4,5.1173969222264905e-5,6.9740204519963e-5,6.201680138849363e-5,1.4286758319501604e-4,1.1252126034530544e-4,-2.0652244322229072e-5,1.1248583907305814e-4,-1.851171181103856e-5,3.205122623916692e-5,2.0164511683530564e-5,1.405099822117762e-4,-1.5795626856041458e-4,7.657810371220836e-5,8.527313252523725e-5,7.714069118798275e-5,1.4375540521710548e-5,5.613769462448137e-6,1.751704018989815e-7,-3.559355902634814e-5,3.823607564326323e-5,2.5430482774218045e-5,-2.4791890939417584e-6,1.1595516912981028e-5,1.2346633310891985e-5,-1.2549787619222566e-5,2.360114042009805e-5,-2.5200242791628083e-6,-1.2839328895811536e-6,-2.383290078302369e-5,9.850222111921499e-6,1.002580010436067e-4,-1.9482294692162987e-5,-7.730446474813073e-4,-8.59582012041808e-5,4.913424322420027e-4,-7.567536865536625e-4,1.7725565804027956e-5,-8.704071534332344e-5,3.7828001214159354e-7,9.856863055251107e-5,-7.100871828289007e-5
-0.012098946777330876,0.0012580715921500446,0.0020053091391470583,0.002400242284511086,0.002619362599417239,0.0035388420568502684,0.0028309503592896684,0.00270481452785908,0.0026174623317341433,0.0025714100585175668,0.002548074436650554,0.0025352500312905307,0.0024095277875851237,0.0024860018436697515,-1.8290994135932912e-4,-9.759447595087195e-6,1.2231243977966936e-7,1.4725131038703426e-5,-6.462867668786375e-5,5.572042541587398e-5,6.113316896204031e-5,7.448492615057985e-5,-1.6652028936541842e-5,7.119988110780153e-5,3.722668105939068e-5,2.7806928302137407e-5,-1.1363231996909354e-5,-2.9603719694071443e-5,7.840188554981102e-5,-2.144031182321492e-4,5.599180640228101e-5,1.1799503879543182e-4,7.155982200415952e-5,4.506551761139171e-5,-2.0492144659086603e-5,7.333429422582565e-7,-2.393827011913719e-5,3.305445546544866e-5,-6.714863021010221e-6,-3.4622710808287883e-6,2.1360017580989082e-5,7.220140065717066e-6,-2.373888097520207e-5,2.1120733236371042e-5,3.2655250999816314e-5,-2.4819430926468357e-7,-2.7315014778611008e-05,2.3335749123566747e-5,1.0751656678092614e-4,-3.275520238384742e-5,-4.118213642185988e-4,-7.609061227437662e-5,3.5772180261193034e-4,-0.003699787103798368,1.2970418370523817e-5,-6.596416902005534e-5,4.5397291128782567e-7,3.708759632286684e-4,-7.289242017247028e-5
-0.009347556886887768,0.001187586766301398,0.001980981210814602,0.0021049205456444256,0.0022128112744719593,0.002830950359289662,0.0033054460252893523,0.0027386659200355204,0.0026388906696465865,0.0026642663118450617,0.0025884742192393,0.0026613666236694816,0.0025119348949664546,0.002591254480726854,-8.837888782382543e-5,3.0011675822652845e-6,-1.9401604682970762e-8,2.5307408694930133e-5,-6.648413285649979e-5,5.448808756967954e-6,-1.8335591406748582e-5,1.0273897636723902e-4,-7.181944095704391e-5,4.4929423854145456e-5,5.986706114220468e-5,-4.6410882243813207e-5,-6.922674043980533e-5,-1.0348166008005051e-4,1.0852249283333784e-4,-1.8748654444155705e-4,3.88447248800907e-5,3.55323862360208e-5,-3.923526542998401e-5,2.1495754696656558e-5,-6.966585463440268e-5,5.817817626628018e-7,-2.289465184823725e-5,3.0346949590006783e-5,-2.6648580265692995e-5,6.667423722949678e-6,1.0345291341406966e-5,1.5304067153742444e-5,-3.446437526489138e-5,2.773136779132224e-5,3.138400606424211e-5,7.032979732989237e-6,-3.659786312567811e-5,2.108442127418876e-5,8.252128209554281e-5,-3.0624543079115434e-5,-2.4237874689089287e-4,-5.395150654697366e-5,5.214425089228632e-4,-0.005731962407398216,3.825414642138993e-6,-5.6160185693477336e-5,1.8223361009044232e-6,5.590681955771066e-4,-9.614198104979659e-5
-0.008251654384903571,0.0011391470668474508,0.0019224395316613096,0.0020641981531679646,0.002151529711069885,0.0027048145278590775,0.002738665920035526,0.0030230754479001133,0.0029162059197234496,0.00295345344626612,0.0028297819424932015,0.0024169864363050493,0.0025180090492704027,0.0025596951078061805,-8.793109888384596e-5,3.7814841475504035e-7,1.1796407916401742e-8,3.94947372792403e-5,-3.382610622239079e-5,4.9193567354273555e-5,8.542819461183833e-6,1.0546060684856152e-4,-6.016833322716619e-5,2.5311356416008322e-5,5.1379901541401866e-5,-3.8926892936349414e-5,-2.572048315856451e-5,-1.340209888970188e-4,1.2822698168082796e-4,-1.2446070249399083e-4,3.711979875395642e-5,5.110011141796149e-5,-4.479628616338608e-5,4.27088714246656e-5,-1.6843314052672286e-4,3.733133466341992e-6,-9.703021318356756e-6,3.482435821624248e-5,-3.649111208847225e-5,-2.513518812081631e-6,2.5883211003791516e-5,3.7225198633082396e-6,-3.035765270799042e-5,8.882227750779013e-6,3.154276599904252e-5,5.7410985502926795e-6,-2.4776570880878263e-5,3.183729597896737e-5,7.218902477984072e-5,-3.32534409947619e-5,-2.2573674002478538e-4,-9.823517643891934e-5,3.2561747746457135e-4,-0.003802784934427371,1.243504303367664e-5,-5.794125905130201e-5,7.715858124715515e-7,3.71139507417281e-4,-1.214327967797507e-4
-0.0052137030793497725,9.970543396609886e-4,0.001986691519216338,0.002199178737864085,0.0022391713701274438,0.0026174623317341424,0.002638890669646596,0.0029162059197234526,0.003652263563165205,0.0034539093193849263,0.003236969585196752,0.0028009136864219587,0.0029245508137282833,0.002841673028216395,1.607182227757498e-5,8.316635255396376e-6,-1.790894066027702e-8,-1.0830530297556953e-5,-7.602449606484385e-5,-3.5090938305110284e-5,-1.371633332714463e-5,3.29201349560977e-5,-1.1947272504019142e-4,3.1616510365435064e-5,3.6389987971268266e-5,-4.805698754402012e-5,-2.4150971628588158e-5,-1.2162292590470495e-4,9.300770500878346e-5,-4.150259243462866e-5,6.271856349172249e-5,1.7026322064819854e-5,-2.6688001215954477e-5,-1.2700611873155711e-5,-2.334869981714539e-4,6.159811230084006e-6,-1.7948632896542098e-5,5.531267232707916e-5,-5.1726972143626055e-5,1.1007859808184843e-5,1.3384445039348832e-5,-3.548714702703883e-6,-2.969521370272639e-5,8.614112760500386e-6,-2.16768420389671e-5,4.845895072826229e-6,-1.5957041165289408e-5,4.265010833783359e-5,6.157344583977005e-5,-3.0412497645566085e-5,-3.121637294681362e-5,-1.3763595967902022e-4,2.3847986590027923e-4,-0.0043762640181162805,1.2216105785253092e-5,-3.2856939838435374e-5,5.755736147183651e-7,3.995005930056993e-4,-1.223209178452523e-4
-0.0010631363595106488,0.0010289625553307348,0.002013771946925917,0.002137963964107542,0.0020894865864786805,0.0025714100585175624,0.0026642663118450673,0.002953453446266116,0.003453909319384923,0.003829044886235967,0.003526240866812485,0.002801946659448511,0.003006760726965705,0.0029351223466574537,-1.555103019288114e-5,1.1231981650337243e-5,-6.355510409560961e-8,-1.845763901090883e-5,-9.048089652909483e-5,-3.137338173056523e-5,-2.832552033677976e-6,7.689398331107476e-5,-7.460379910349966e-5,2.7387194509203788e-5,6.630017412881641e-5,-6.663454377411224e-5,-1.679546833575804e-5,-7.303088466258796e-5,1.536335560333996e-4,-8.31035908494695e-5,4.5655692942436906e-5,1.6958422588515456e-5,-6.2390764101485805e-6,3.940458583317479e-5,-2.808738141593257e-4,6.544194570512906e-6,-1.9678277366975233e-5,6.458978888328983e-5,-8.31126601303242e-5,8.552717969485563e-6,1.5540053065546674e-5,-1.787513085768914e-7,-2.8742012963107503e-5,6.448308866886514e-6,-1.8308587750788656e-5,1.2979938493451386e-5,-1.4114186451448547e-5,5.11465282043866e-5,4.8861941102470596e-5,-3.618438601000113e-5,-2.5852989807537114e-4,-1.5881997579787776e-4,3.2762421663124137e-4,-0.0019464864779134164,1.376891090726987e-5,-1.1495405419134292e-5,-3.009957744085565e-7,1.415772347854946e-4,-1.4180277159556154e-4
-0.0024693207859019465,0.0011610914614329987,0.0018547552201570495,0.002033226663395604,0.0020054067271386604,0.002548074436650552,0.0025884742192393067,0.0028297819424931985,0.003236969585196747,0.003526240866812483,0.004063093476255712,0.0029874446244249017,0.00322850596867247,0.003106704737624918,-6.489201891217261e-5,1.540218225740007e-5,-9.30934685925823e-8,-1.4245104402490943e-4,-1.904567046332078e-4,-8.023321494103288e-5,-5.16810959416266e-5,2.6579472400275918e-5,-2.1870543384625214e-4,5.4234598797616854e-5,4.878252962591492e-5,-1.6370075328088454e-5,-2.3225839239364745e-5,-5.9711134770227835e-6,5.9023721301795447e-5,-5.312932512862909e-5,1.908205850616111e-5,7.79244345022794e-6,-4.801465626968595e-5,-8.09068897304817e-6,-1.5410574270633619e-4,4.8930932824456535e-6,-8.807850555462329e-6,6.55546486884943e-5,-4.219667908139927e-5,1.4348072592362415e-6,2.6465249082050543e-5,-7.673545103040704e-7,-3.385082412630428e-5,-2.3200612081939857e-6,-3.625831118153108e-6,-3.2961251790313792e-6,-2.329864616976458e-5,2.879892010835989e-5,8.343080126000207e-5,-3.618647516088908e-5,-7.228581018518076e-4,-1.3768082252270023e-4,2.860401853501242e-4,-2.871385167809854e-4,2.5024925540770198e-5,4.657250621009909e-5,-1.337491260625108e-6,-6.754049713576237e-5,-1.4969398186000991e-4
-0.007246466375345884,0.0012813990782759206,0.0020061874581896824,0.002078387730868617,0.0021153156535369685,0.0025352500312905224,0.0026613666236694807,0.002416986436305044,0.0028009136864219474,0.0028019466594485032,0.0029874446244248895,0.003973923623683583,0.0032744725906264003,0.0030248467404639973,5.003959056136268e-5,2.3841143396492754e-5,-2.0736450478850483e-7,-1.1136879816081672e-4,-1.6644959489781473e-4,-6.827181291560333e-5,-1.051108641422946e-4,-4.8069273300119586e-5,-2.4067645229848257e-4,3.789915476928241e-5,2.7153101642627534e-5,-3.1205786374540114e-5,-9.350876015401493e-5,-6.808860826406814e-5,5.283155738928384e-5,-1.341246713704323e-4,5.163845052198255e-5,-6.179220755816082e-5,-1.2531222198891416e-4,-5.04902116694292e-5,-1.2689463798624894e-4,5.436014586315644e-6,-1.5033867537555257e-5,5.1266189697154727e-5,-2.1801288010410534e-5,-1.5502366434355317e-5,1.963071038377574e-5,1.006685114554663e-5,-3.8210504521791344e-5,8.988547850683324e-6,-5.444282608816183e-6,-1.3596222059491332e-5,-3.797852000939329e-5,1.229489194657046e-5,7.769421272952478e-5,-2.393616308750897e-5,1.0617231152934342e-4,2.2890172018365236e-5,3.5340771743715463e-4,-0.00444038295224938,7.641633471016865e-6,-4.711123086368027e-5,2.101966549816882e-6,4.3131975447428036e-4,-8.139021389368002e-6
-0.003954026717991595,0.0012104437855687204,0.001893930950332962,0.0019823823268546657,0.0018958617167838896,0.002409527787585109,0.00251193489496645,0.0025180090492703863,0.002924550813728268,0.0030067607269656884,0.0032285059686724626,0.0032744725906263972,0.003648296735185042,0.0031009876388657536,4.344902573657616e-5,1.744833449555529e-5,-1.9663346636331105e-7,-6.722607907737142e-5,-1.1428315918007887e-4,-5.9222145450901936e-5,-8.806078031599421e-5,3.5767412121212456e-6,-2.0343977697739003e-4,3.9305981923941303e-5,2.5152847133133846e-5,-4.0406002531766964e-5,-2.2323706778725562e-5,-2.3976477562144553e-5,9.054406466450597e-5,-1.1012754165003e-4,3.9869332112257767e-5,-1.3696618934449296e-5,-2.9474720746689422e-5,1.4742706189120792e-5,-9.12274044506125e-5,5.880884295713643e-6,3.6327531525977866e-8,5.216012679998047e-5,-3.497476812233953e-5,-1.7766142648471525e-5,2.5264771085633926e-5,-4.26957306428083e-6,-2.7161445434256252e-5,1.07118601933797e-5,-1.289722986305274e-5,-5.244228328570414e-6,-3.150179094176736e-5,3.10305827476257e-5,6.765983796900767e-5,-2.7544775969105465e-5,-3.8458434920877744e-4,-3.585427871399352e-5,2.62284889298522e-4,-0.0036215122495511882,1.3624147106496286e-5,3.772587777829406e-5,9.672896997886756e-7,2.7532768454237766e-4,-7.198644152448803e-5
-5.716032604324371e-4,0.0011911361322943443,0.0017326507593180122,0.0020525894117757186,0.0020691344577399118,0.002486001843669764,0.0025912544807268826,0.0025596951078061905,0.002841673028216407,0.0029351223466574624,0.003106704737624948,0.003024846740464039,0.003100987638865785,0.0037140795299570174,1.4116089123222147e-5,1.116113634475259e-5,-1.362945532894619e-7,-1.9094603645216455e-5,-9.466421423111387e-6,1.3210562445612209e-5,-1.08279471403156e-4,3.4438922377099096e-6,-1.0167301311219136e-4,2.6697828710019876e-5,3.840138001495148e-5,-3.0776415062014e-5,-3.6272260297240204e-5,-4.925343498855639e-5,1.0089778942426744e-4,-1.1454498870901443e-4,6.750855196942659e-5,-7.157024570903021e-6,-2.8577138218004233e-5,2.3215750205373233e-5,-1.912193094323476e-5,1.87870668411216e-6,-1.3137772516536615e-5,5.6787987110737784e-5,-4.774608174376164e-6,-6.516932309906055e-6,1.0860352520658795e-5,6.717362268811839e-6,-2.1306578168394405e-5,1.3645242120971122e-5,-1.086909506440918e-5,-3.878388356930781e-6,-2.5385109829059067e-5,5.394736200050554e-6,7.056945955160934e-5,-2.383549586588479e-5,-0.0010079764008120466,-4.126718495292274e-5,4.2882562759771254e-4,-9.052693814648837e-4,2.1845679737577553e-5,-8.705837064161104e-6,2.305939452592815e-6,3.193464830467488e-5,-9.924681309831168e-5
